,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
6,6057,"г. Новосибирск, ул. Михаила Перевозчикова, д. 5/1",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1970,3 010.40,145
7,6058,"г. Новосибирск, ш. Мочищенское, д. 2",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1960,1 676.20,80
8,6059,"г. Новосибирск, ш. Мочищенское, д. 4",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1960,1 620.50,73
9,6060,"г. Новосибирск, ш. Мочищенское, д. 6",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,602.50,36
10,6061,"г. Новосибирск, ш. Мочищенское, д. 8",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,1 660.30,81
11,6062,"г. Новосибирск, ш. Мочищенское, д. 10",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1960,—,61
12,6063,"г. Новосибирск, ш. Мочищенское, д. 12",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1953,1 893.80,86
13,6064,"г. Новосибирск, ш. Мочищенское, д. 14",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,311.00,69
14,6065,"г. Новосибирск, ш. Мочищенское, д. 16",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,1 893.10,69
15,6066,"г. Новосибирск, ул. Новая, д. 3",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1951,1 485.90,53
16,6067,"г. Новосибирск, ул. Новая, д. 5",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1995,2 380.90,84
17,6068,"г. Новосибирск, ул. Новая, д. 7",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,678.90,33
18,6069,"г. Новосибирск, ул. Новая, д. 9",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,673.70,—
19,6070,"г. Новосибирск, ул. Новая, д. 11",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,300.80,12
20,6071,"г. Новосибирск, ул. Новая, д. 11а",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,295.10,12
21,6072,"г. Новосибирск, ул. Новая, д. 13",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1960,1 166.10,50
22,6073,"г. Новосибирск, ул. Новая, д. 13/1",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1970,3 529.40,163
23,6074,"г. Новосибирск, ул. Новая, д. 15",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1960,1 128.80,37
24,6075,"г. Новосибирск, ул. Охотская, д. 81/1",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1998,1 442.20,52
1,6077,"г. Новосибирск, ул. Падунская, д. 4",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,670.20,34
2,6078,"г. Новосибирск, ул. Падунская, д. 6",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,301.70,12
3,6079,"г. Новосибирск, ул. Падунская, д. 8",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,295.30,13
4,6080,"г. Новосибирск, ул. Падунская, д. 10",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,632.20,27
5,6081,"г. Новосибирск, ул. Падунская, д. 12",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1960,647.70,37
6,6082,"г. Новосибирск, ул. Петрозаводская, д. 1",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,136.80,12
7,6083,"г. Новосибирск, ул. Петрозаводская, д. 3",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,96.80,7
8,6084,"г. Новосибирск, ул. Плановая, д. 48",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1951,433.80,—
9,6085,"г. Новосибирск, ул. Плановая, д. 48а",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1951,645.00,25
10,6086,"г. Новосибирск, ул. Плановая, д. 54",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1967,566.30,—
11,6087,"г. Новосибирск, ул. Плановая, д. 56",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1952,593.60,—
12,6088,"г. Новосибирск, ул. Плановая, д. 62",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1954,1 477.20,—
13,6089,"г. Новосибирск, ул. Плановая, д. 64",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1948,462.60,—
14,6090,"г. Новосибирск, ул. Плановая, д. 64а",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1950,524.20,—
15,6091,"г. Новосибирск, туп. Светлановский 2-й, д. 8",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,311.10,21
16,6092,"г. Новосибирск, туп. Светлановский 2-й, д. 10",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1958,305.50,9
17,6093,"г. Новосибирск, туп. Светлановский 2-й, д. 12",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,303.60,18
18,6094,"г. Новосибирск, ул. Северная, д. 23",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1962,1 049.10,49
19,6095,"г. Новосибирск, ул. Северная, д. 23/2",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1962,257.20,12
20,6096,"г. Новосибирск, ул. Северная, д. 23/3",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1962,252.10,11
21,6097,"г. Новосибирск, ул. Северная, д. 25",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1962,1 017.70,62
22,6098,"г. Новосибирск, ул. Северная, д. 27",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1961,1 050.40,57
23,6099,"г. Новосибирск, ул. Северная, д. 27/2",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1962,1 004.80,57
24,6100,"г. Новосибирск, ул. Северная, д. 29",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1961,1 615.30,79
1,6102,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 18",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1957,311.50,13
2,6103,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 20",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1955,431.10,13
3,6104,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 20а",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1957,302.10,15
4,6105,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 20б",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1957,309.80,16
5,6106,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 21",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1949,437.00,—
6,6107,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 23",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1957,425.60,—
7,6108,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 23а",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,821.10,—
8,6109,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 25",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1951,457.10,—
9,6110,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 25а",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1959,826.00,—
10,6111,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 27а",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1963,2 757.30,97
11,6112,"г. Новосибирск, ул. Союза Молодежи 2-я, д. 29",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1963,1 702.10,79
12,6113,"г. Новосибирск, ул. Тимирязева, д. 62",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1956,2 552.90,77
13,6114,"г. Новосибирск, ул. Тимирязева, д. 73",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1963,3 833.70,170
14,6115,"г. Новосибирск, ул. Тимирязева, д. 75",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1963,3 874.40,159
15,6116,"г. Новосибирск, ул. Тимирязева, д. 77",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1963,—,173
16,6117,"г. Новосибирск, ул. Тимирязева, д. 79",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1963,—,165
17,6118,"г. Новосибирск, ул. Тимирязева, д. 83/1",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1969,—,157
18,6119,"г. Новосибирск, ул. Тимирязева, д. 85",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1969,—,162
19,6120,"г. Новосибирск, ул. Тимирязева, д. 85/1",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1968,—,143
20,6121,"г. Новосибирск, ул. Тимирязева, д. 87",УК «Управляющая компания Заельцовская»,(383) 225-76-96,1968,—,162
21,6122,"г. Новосибирск, ул. Красный Факел, д. 9",УК «Управляющая компания Первомайская»,319 19 77,1973,2 627.60,147
22,6123,"г. Новосибирск, ул. Красный Факел, д. 11",УК «Управляющая компания Первомайская»,319 19 77,1972,2 766.40,136
23,6124,"г. Новосибирск, ул. Радиостанция N2, д. 1",УК «Управляющая компания Первомайская»,319 19 77,1987,1 802.90,87
24,6125,"г. Новосибирск, ул. Тургенева, д. 182",УК «Управляющая компания Первомайская»,319 19 77,1994,8 525.90,225
1,6127,"г. Новосибирск, ул. Кедровая, д. 37",УК «Русьдом»,8(383)325-14-99,2009,2 337.00,25
2,6128,"г. Новосибирск, ул. Кедровая, д. 39",УК «Русьдом»,8(383)325-14-99,2009,1 500.40,15
3,6129,"г. Новосибирск, ул. Кедровая, д. 39/1",УК «Русьдом»,8(383)325-14-99,2010,1 408.90,12
4,6130,"г. Новосибирск, ул. Кедровая, д. 39/2",УК «Русьдом»,8(383)325-14-99,2010,1 158.90,10
5,6131,"г. Новосибирск, ул. Кедровая, д. 39/3",УК «Русьдом»,8(383)325-14-99,2010,2 301.70,20
6,6132,"г. Новосибирск, ул. Кедровая, д. 39/4",УК «Русьдом»,8(383)325-14-99,2010,851.60,8
7,6133,"г. Новосибирск, ул. Кедровая, д. 41",УК «Русьдом»,8(383)325-14-99,2010,2 494.10,20
8,6134,"г. Новосибирск, ул. Кедровая, д. 41/1",УК «Русьдом»,8(383)325-14-99,2010,2 219.70,18
9,6135,"г. Новосибирск, ул. Кедровая, д. 43",УК «Русьдом»,8(383)325-14-99,2010,2 275.20,20
10,6136,"г. Новосибирск, ул. Кедровая, д. 43/1",УК «Русьдом»,8(383)325-14-99,2010,1 303.80,8
11,6137,"г. Новосибирск, ул. Кедровая, д. 43/2",УК «Русьдом»,8(383)325-14-99,2010,313.50,10
12,6138,"г. Новосибирск, ул. Кедровая, д. 43/3",УК «Русьдом»,8(383)325-14-99,2010,2 491.90,21
13,6139,"г. Новосибирск, ул. Кедровая, д. 43/4",УК «Русьдом»,8(383)325-14-99,2010,919.70,8
14,6140,"г. Новосибирск, ул. Кедровая, д. 45",УК «Русьдом»,8(383)325-14-99,2011,2 380.40,45
15,6141,"г. Новосибирск, ул. Кедровая, д. 47",УК «Русьдом»,8(383)325-14-99,2012,2 400.70,45
16,6142,"г. Новосибирск, ул. Кедровая, д. 49",УК «Русьдом»,8(383)325-14-99,2011,3 348.10,45
17,6143,"г. Новосибирск, ул. Кедровая, д. 51",УК «Русьдом»,8(383)325-14-99,2012,3 370.50,40
18,6144,"г. Новосибирск, ул. Кедровая, д. 53",УК «Русьдом»,8(383)325-14-99,2012,2 950.80,45
19,6145,"г. Новосибирск, ул. Кедровая, д. 55",УК «Русьдом»,8(383)325-14-99,2012,3 329.90,50
20,6146,"г. Новосибирск, ул. Кедровая, д. 57",УК «Русьдом»,8(383)325-14-99,2012,2 812.30,50
21,6147,"г. Новосибирск, ул. Кедровая, д. 59",УК «Русьдом»,8(383)325-14-99,2012,2 360.90,45
22,6148,"г. Новосибирск, ул. Кедровая, д. 61",УК «Русьдом»,8(383)325-14-99,2013,3 579.20,56
23,6149,"г. Новосибирск, ул. Кедровая, д. 63",УК «Русьдом»,8(383)325-14-99,2013,2 798.80,66
24,6150,"г. Новосибирск, ул. Кедровая, д. 65",УК «Русьдом»,8(383)325-14-99,2013,3 124.60,78
1,6152,"г. Новосибирск, ул. Депутатская, д. 15а",УК «Управляющая компания Содружество»,(383)2090951,1950,2 124.20,63
2,6153,"г. Новосибирск, пр-кт. Комсомольский, д. 4а",УК «Управляющая компания Содружество»,(383)2090951,—,388.00,15
3,6154,"г. Новосибирск, ул. Ленина, д. 17",УК «Управляющая компания Содружество»,(383)2090951,1930,4 338.30,116
4,6155,"г. Новосибирск, ул. Максима Горького, д. 42",УК «Управляющая компания Содружество»,(383)2090951,—,2 365.60,76
5,6156,"г. Новосибирск, ул. Октябрьская, д. 10",УК «Управляющая компания Содружество»,(383)2090951,1972,3 849.80,149
6,6157,"г. Новосибирск, ул. Октябрьская, д. 10а",УК «Управляющая компания Содружество»,(383)2090951,1995,1 760.40,71
7,6158,"г. Новосибирск, ул. Революции, д. 28",УК «Управляющая компания Содружество»,(383)2090951,1972,8 914.90,254
8,6159,"г. Новосибирск, ул. Свердлова, д. 7",УК «Управляющая компания Содружество»,(383)2090951,1938,2 569.40,90
9,6160,"г. Новосибирск, ул. Урицкого, д. 7",УК «Управляющая компания Содружество»,(383)2090951,1961,6 152.70,167
10,6161,"г. Новосибирск, ул. Урицкого, д. 19",УК «Управляющая компания Содружество»,(383)2090951,1929,2 229.30,17
11,6162,"г. Новосибирск, ул. Чаплыгина, д. 16",УК «Управляющая компания Содружество»,(383)2090951,1960,1 760.20,71
12,6163,"г. Новосибирск, ул. Чаплыгина, д. 35",УК «Управляющая компания Содружество»,(383)2090951,1934,2 338.51,69
13,6164,"г. Новосибирск, ул. Чаплыгина, д. 39",УК «Управляющая компания Содружество»,(383)2090951,1941,2 568.00,56
14,6165,"г. Новосибирск, ул. Ватутина, д. 41",УК «Стандарт»,(383) 301-04-05,1963,3 972.10,134
15,6166,"г. Новосибирск, ул. Ватутина, д. 45",УК «Стандарт»,(383) 301-04-05,1963,3 922.50,132
16,6167,"г. Новосибирск, ул. Ватутина, д. 49",УК «Стандарт»,(383) 301-04-05,1963,3 927.70,164
17,6168,"г. Новосибирск, мкр. Горский, д. 6",УК «Стандарт»,(383) 301-04-05,2007,15 511.90,219
18,6169,"г. Новосибирск, мкр. Горский, д. 8",УК «Стандарт»,(383) 301-04-05,2008,21 086.60,359
19,6170,"г. Новосибирск, мкр. Горский, д. 8а",УК «Стандарт»,(383) 301-04-05,2009,32 917.10,413
20,6171,"г. Новосибирск, мкр. Горский, д. 10",УК «Стандарт»,(383) 301-04-05,2011,17 815.10,166
21,6172,"г. Новосибирск, мкр. Горский, д. 11",УК «Стандарт»,(383) 301-04-05,2008,8 769.70,152
22,6173,"г. Новосибирск, ул. Костычева, д. 74/1",УК «Стандарт»,(383) 301-04-05,2012,31 383.80,209
23,6174,"г. Новосибирск, ул. Котовского, д. 2, к. 1, стр. 1",УК «Стандарт»,(383) 301-04-05,1970,3 510.20,87
24,6175,"г. Новосибирск, ул. Немировича-Данченко, д. 16/1, к. 1, стр. 1",УК «Стандарт»,(383) 301-04-05,2013,6 641.10,—
1,6177,"г. Новосибирск, ул. Серафимовича, д. 15/1",УК «Стандарт»,(383) 301-04-05,1998,3 831.10,—
2,6178,"г. Новосибирск, ул. Степная, д. 6, к. 1, стр. 1",УК «Стандарт»,(383) 301-04-05,2012,10 083.80,62
3,6179,"г. Новосибирск, ул. Депутатская, д. 58",УК «Уют»,223-18-26,1986,13 080.19,510
4,6180,"г. Новосибирск, ул. Депутатская, д. 60",УК «Уют»,223-18-26,1987,11 905.65,500
5,6181,"г. Новосибирск, ул. Каинская, д. 8б",УК «Уют»,223-18-26,1951,1 946.70,57
6,6182,"г. Новосибирск, ул. Каинская, д. 15А",УК «Уют»,223-18-26,1927,227.40,9
7,6183,"г. Новосибирск, ул. Каинская, д. 25а",УК «Уют»,223-18-26,1960,351.30,22
8,6184,"г. Новосибирск, ул. Колыванская, д. 3",УК «Уют»,223-18-26,1989,3 964.50,164
9,6185,"г. Новосибирск, ул. Колыванская, д. 5",УК «Уют»,223-18-26,1904,156.80,11
10,6186,"г. Новосибирск, ул. Колыванская, д. 6",УК «Уют»,223-18-26,1933,1 394.40,70
11,6187,"г. Новосибирск, ул. Колыванская, д. 8",УК «Уют»,223-18-26,1958,1 807.80,52
12,6188,"г. Новосибирск, пр-кт. Красный, д. 6",УК «Уют»,223-18-26,1920,1 260.40,17
13,6189,"г. Новосибирск, пр-кт. Красный, д. 10",УК «Уют»,223-18-26,1927,1 424.60,15
14,6190,"г. Новосибирск, пр-кт. Красный, д. 14",УК «Уют»,223-18-26,1962,2 751.30,75
15,6191,"г. Новосибирск, пр-кт. Красный, д. 16",УК «Уют»,223-18-26,1940,12 140.10,258
16,6192,"г. Новосибирск, пр-кт. Красный, д. 30",УК «Уют»,223-18-26,1957,15 740.90,305
17,6193,"г. Новосибирск, пр-кт. Красный, д. 46",УК «Уют»,223-18-26,1937,2 803.70,—
18,6194,"г. Новосибирск, ул. Максима Горького, д. 92",УК «Уют»,223-18-26,1950,433.00,20
19,6195,"г. Новосибирск, ул. Максима Горького, д. 104",УК «Уют»,223-18-26,1977,13 148.60,508
20,6196,"г. Новосибирск, ул. Максима Горького, д. 126А",УК «Уют»,223-18-26,—,—,—
21,6197,"г. Новосибирск, ул. Октябрьская, д. 33",УК «Уют»,223-18-26,1933,3 020.10,86
22,6198,"г. Новосибирск, ул. Октябрьская, д. 45",УК «Уют»,223-18-26,1932,3 681.50,102
23,6199,"г. Новосибирск, ул. Октябрьская, д. 45а",УК «Уют»,223-18-26,1932,2 409.35,76
24,6200,"г. Новосибирск, ул. Октябрьская, д. 49",УК «Уют»,223-18-26,1991,11 190.36,374
1,6202,"г. Новосибирск, ул. Октябрьская, д. 84",УК «Уют»,223-18-26,1940,2 193.00,64
2,6203,"г. Новосибирск, ул. Октябрьская, д. 97б",УК «Уют»,223-18-26,1958,618.20,20
3,6204,"г. Новосибирск, ул. Свердлова, д. 13",УК «Уют»,223-18-26,1957,2 678.90,63
4,6205,"г. Новосибирск, ул. Свердлова, д. 21",УК «Уют»,223-18-26,1956,5 645.30,147
5,6206,"г. Новосибирск, ул. Свердлова, д. 27",УК «Уют»,223-18-26,1958,2 622.60,74
6,6207,"г. Новосибирск, ул. Серебренниковская, д. 1",УК «Уют»,223-18-26,1960,2 417.30,58
7,6208,"г. Новосибирск, ул. Серебренниковская, д. 2/1",УК «Уют»,223-18-26,1988,12 581.90,503
8,6209,"г. Новосибирск, ул. Серебренниковская, д. 2/2",УК «Уют»,223-18-26,1989,3 449.90,168
9,6210,"г. Новосибирск, ул. Серебренниковская, д. 3",УК «Уют»,223-18-26,1960,1 569.00,41
10,6211,"г. Новосибирск, ул. Серебренниковская, д. 4/1",УК «Уют»,223-18-26,1996,5 043.80,121
11,6212,"г. Новосибирск, ул. Серебренниковская, д. 4/2",УК «Уют»,223-18-26,1996,3 793.30,110
12,6213,"г. Новосибирск, ул. Серебренниковская, д. 9",УК «Уют»,223-18-26,1932,3 893.80,139
13,6214,"г. Новосибирск, ул. Серебренниковская, д. 16",УК «Уют»,223-18-26,1932,5 901.00,195
14,6215,"г. Новосибирск, ул. Серебренниковская, д. 19",УК «Уют»,223-18-26,1959,1 321.80,56
15,6216,"г. Новосибирск, ул. Серебренниковская, д. 23",УК «Уют»,223-18-26,1934,9 432.40,130
16,6217,"г. Новосибирск, ул. Сибревкома, д. 4",УК «Уют»,223-18-26,1979,4 073.90,170
17,6218,"г. Новосибирск, ул. Советская, д. 4",УК «Уют»,223-18-26,1958,3 298.70,108
18,6219,"г. Новосибирск, ул. Советская, д. 10",УК «Уют»,223-18-26,1937,7 686.30,160
19,6220,"г. Новосибирск, ул. Советская, д. 12",УК «Уют»,223-18-26,1953,5 044.00,72
20,6221,"г. Новосибирск, ул. Соревнования, д. 22А",УК «Уют»,223-18-26,1950,440.50,31
21,6222,"г. Новосибирск, ул. Трудовая, д. 8",УК «Уют»,223-18-26,1956,2 347.60,25
22,6223,"г. Новосибирск, ул. Чаплыгина, д. 48",УК «Уют»,223-18-26,1957,3 299.40,99
23,6224,"г. Новосибирск, ул. Чаплыгина, д. 98",УК «Уют»,223-18-26,1993,3 599.60,105
24,6225,"г. Новосибирск, ул. Чаплыгина, д. 98а",УК «Уют»,223-18-26,1954,2 134.16,50
1,6227,"г. Новосибирск, ул. Чаплыгина, д. 109",УК «Уют»,223-18-26,1956,2 021.10,71
2,6228,"г. Новосибирск, ул. Чаплыгина, д. 117А",УК «Уют»,223-18-26,1951,1 438.25,60
3,6229,"г. Новосибирск, ул. Амосова, д. 58",УК «Энергопрогресс»,(383) 205-51-10,—,4 732.00,—
4,6230,"г. Новосибирск, ул. Амосова, д. 60",УК «Энергопрогресс»,(383) 205-51-10,—,5 404.00,—
5,6231,"г. Новосибирск, ул. Амосова, д. 62",УК «Энергопрогресс»,(383) 205-51-10,—,5 292.00,—
6,6232,"г. Новосибирск, ул. Амосова, д. 66",УК «Энергопрогресс»,(383) 205-51-10,—,5 404.00,—
7,6233,"г. Новосибирск, ул. Амосова, д. 67",УК «Энергопрогресс»,(383) 205-51-10,—,4 032.00,—
8,6234,"г. Новосибирск, ул. Амосова, д. 68",УК «Энергопрогресс»,(383) 205-51-10,—,5 404.00,—
9,6235,"г. Новосибирск, ул. Амосова, д. 73",УК «Энергопрогресс»,(383) 205-51-10,—,3 888.00,—
10,6236,"г. Новосибирск, ул. Амосова, д. 75",УК «Энергопрогресс»,(383) 205-51-10,—,3 888.00,—
11,6237,"г. Новосибирск, ул. Амосова, д. 77",УК «Энергопрогресс»,(383) 205-51-10,—,3 828.00,—
12,6238,"г. Новосибирск, ул. Амосова, д. 77/1",УК «Энергопрогресс»,(383) 205-51-10,—,5 404.00,—
13,6239,"г. Новосибирск, ул. Амосова, д. 79/1",УК «Энергопрогресс»,(383) 205-51-10,—,7 111.00,—
14,6240,"г. Новосибирск, ул. Солидарности, д. 57",УК «Энергопрогресс»,(383) 205-51-10,—,2 980.00,—
15,6241,"г. Новосибирск, ул. Солидарности, д. 61",УК «Энергопрогресс»,(383) 205-51-10,—,2 980.00,—
16,6242,"г. Новосибирск, ул. Солидарности, д. 61А",УК «Энергопрогресс»,(383) 205-51-10,—,2 852.00,—
17,6243,"г. Новосибирск, ул. Солидарности, д. 63А",УК «Энергопрогресс»,(383) 205-51-10,—,5 274.00,—
18,6244,"г. Новосибирск, ул. Солидарности, д. 65",УК «Энергопрогресс»,(383) 205-51-10,—,4 032.00,—
19,6245,"г. Новосибирск, ул. Солидарности, д. 72",УК «Энергопрогресс»,(383) 205-51-10,—,4 929.00,—
20,6246,"г. Новосибирск, ул. Солидарности, д. 74",УК «Энергопрогресс»,(383) 205-51-10,—,5 404.00,—
21,6247,"г. Новосибирск, ул. Солидарности, д. 78",УК «Энергопрогресс»,(383) 205-51-10,—,3 987.00,—
22,6248,"г. Новосибирск, ул. Солидарности, д. 79",УК «Энергопрогресс»,(383) 205-51-10,—,3 850.00,—
23,6249,"г. Новосибирск, ул. Солидарности, д. 80",УК «Энергопрогресс»,(383) 205-51-10,—,4 044.00,—
24,6250,"г. Новосибирск, ул. Солидарности, д. 81",УК «Энергопрогресс»,(383) 205-51-10,—,3 850.00,—
1,6252,"г. Новосибирск, ул. Солидарности, д. 83",УК «Энергопрогресс»,(383) 205-51-10,—,4 044.00,—
2,6253,"г. Новосибирск, ул. Солидарности, д. 84",УК «Энергопрогресс»,(383) 205-51-10,—,4 044.00,—
3,6254,"г. Новосибирск, ул. Солидарности, д. 86",УК «Энергопрогресс»,(383) 205-51-10,—,5 404.00,—
4,6255,"г. Новосибирск, ул. Солидарности, д. 87",УК «Энергопрогресс»,(383) 205-51-10,—,4 044.00,—
5,6256,"г. Новосибирск, ул. Солидарности, д. 88",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
6,6257,"г. Новосибирск, ул. Солидарности, д. 89",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
7,6258,"г. Новосибирск, ул. Солидарности, д. 90",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
8,6259,"г. Новосибирск, ул. Солидарности, д. 91",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
9,6260,"г. Новосибирск, ул. Солидарности, д. 92",УК «Энергопрогресс»,(383) 205-51-10,—,4 044.00,—
10,6261,"г. Новосибирск, ул. Солидарности, д. 93",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
11,6262,"г. Новосибирск, ул. Солидарности, д. 94",УК «Энергопрогресс»,(383) 205-51-10,—,4 044.00,—
12,6263,"г. Новосибирск, ул. Солидарности, д. 95",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
13,6264,"г. Новосибирск, ул. Солидарности, д. 95А",УК «Энергопрогресс»,(383) 205-51-10,—,5 821.00,—
14,6265,"г. Новосибирск, ул. Солидарности, д. 96",УК «Энергопрогресс»,(383) 205-51-10,—,4 044.00,—
15,6266,"г. Новосибирск, ул. Солидарности, д. 97",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
16,6267,"г. Новосибирск, ул. Солидарности, д. 97А",УК «Энергопрогресс»,(383) 205-51-10,—,4 032.00,—
17,6268,"г. Новосибирск, ул. Солидарности, д. 99",УК «Энергопрогресс»,(383) 205-51-10,—,3 144.00,—
18,6269,"г. Новосибирск, ул. Героев Революции, д. 5/1",УК «Юган»,(383)3070589,2006,3 115.20,83
19,6270,"г. Новосибирск, ул. Героев Революции, д. 5/2",УК «Юган»,(383)3070589,2005,4 562.30,96
20,6271,"г. Новосибирск, ул. Маяковского, д. 1/1",УК «Юган»,(383)3070589,2013,5 992.00,162
21,6272,"г. Новосибирск, ул. Первомайская, д. 176",УК «Юган»,(383)3070589,1984,7 920.10,—
22,6273,"г. Новосибирск, ул. Эйхе, д. 9а",УК «Юган»,(383)3070589,—,—,—
23,6274,"г. Новосибирск, ул. Плахотного, д. 72/1",ТСЖ «На Плахотного»,8-913-907-77-45,—,—,—
24,6275,"г. Новосибирск, ул. Тульская, д. 90/2",ТВОЙ НОВЫЙ ДОМ,+79529362354,2003,4 771.60,62
1,6277,"г. Новосибирск, ул. Выборная, д. 102",ТСЖ «ДОМ У БОРА»,+79232255222,2005,9 771.00,129
2,6278,"г. Новосибирск, ул. Волховская, д. 33а",ТСН «Волховская»,8(383)3660208,2010,12 559.30,—
3,6279,"г. Новосибирск, пр-кт. Красный, д. 102/2",ТСЖ «ТОР-102»,225-88-50,1973,5 355.50,190
4,6280,"г. Новосибирск, ул. Широкая, д. 27",ТСЖ «Хрустальный»,89137632740 (тел. председателя),1974,10 230.00,365
5,6281,"г. Новосибирск, ул. Бориса Богаткова, д. 266/2",ТСЖ «Гигант»,264-01-24,—,—,—
6,6282,"г. Новосибирск, ул. Кошурникова, д. 41",ТСЖ «Кошурникова41»,+79628331420,1969,7 468.90,—
7,6283,"г. Новосибирск, ул. 1905 года, д. 2",ТСЖ «1905 года»,89039023550,1998,13 328.01,252
8,6284,"г. Новосибирск, ул. Широкая, д. 117",ТСЖ «60 лет Октября»,89139353722,1978,8 537.00,500
9,6285,"г. Новосибирск, ул. Авиастроителей, д. 14","ТСЖ «Авиастроителей, 14»",+79232526651,1942,10 254.90,222
10,6286,"г. Новосибирск, ул. Адриена Лежена, д. 6/2",ЖСК «Адриен»,8-905-930-09-38,1968,6 937.20,230
11,6287,"г. Новосибирск, пр-кт. Академика Коптюга, д. 7",ТСЖ «Академ-1»,+73833356864,2010,13 717.40,167
12,6288,"г. Новосибирск, пр-кт. Академика Коптюга, д. 9",ТСЖ «Академ-1»,+73833356864,2010,13 697.20,145
13,6289,"г. Новосибирск, пр-кт. Академика Коптюга, д. 11",ТСЖ «Академ-2»,8(383)335-65-52,2010,12 749.80,181
